epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.4613,0.85703,2.28597,1.12555,0.84131,0.79166,0.8739,0.71806,0.80157,1.12351,1.07708,0.000300705,0.000300705,0.000300705
2,48.7548,0.77741,1.11951,1.06021,0.57827,0.68013,0.67273,0.52461,0.81428,1.34096,1.07944,0.000579798,0.000579798,0.000579798
3,71.1989,0.7589,0.99489,1.05184,0.77544,0.74445,0.85347,0.70133,0.74327,0.87163,1.04641,0.000834894,0.000834894,0.000834894
4,93.3094,0.76013,0.94079,1.05656,0.73241,0.66762,0.78562,0.65277,0.69548,0.93852,1.01575,0.000801011,0.000801011,0.000801011
5,115.615,0.70333,0.83881,1.0302,0.84735,0.77696,0.89109,0.75086,0.683,0.7652,0.99922,0.000765014,0.000765014,0.000765014
6,138.019,0.69976,0.79143,1.0286,0.86821,0.87198,0.93853,0.78957,0.67725,0.68646,1.00857,0.000729018,0.000729018,0.000729018
7,160.51,0.6926,0.72966,1.01715,0.84341,0.80311,0.88837,0.73795,0.67183,0.68946,0.99391,0.000693022,0.000693022,0.000693022
8,182.812,0.66804,0.6898,1.00803,0.91551,0.85982,0.93715,0.80688,0.6505,0.59716,0.97179,0.000657025,0.000657025,0.000657025
9,205.435,0.6518,0.66288,1.00366,0.88886,0.83243,0.92499,0.78915,0.6246,0.59652,0.97949,0.000621029,0.000621029,0.000621029
10,228.563,0.64488,0.63381,1.00405,0.92212,0.86695,0.95041,0.83491,0.59421,0.55502,0.94856,0.000585032,0.000585032,0.000585032
11,251.601,0.62611,0.61333,0.99045,0.9267,0.86787,0.95132,0.8424,0.57406,0.52108,0.93705,0.000549036,0.000549036,0.000549036
12,274.377,0.60794,0.59104,0.98655,0.90758,0.86566,0.93791,0.82999,0.57902,0.54415,0.95482,0.00051304,0.00051304,0.00051304
13,296.968,0.59844,0.57101,0.97848,0.94925,0.89746,0.96025,0.84775,0.57476,0.49609,0.93997,0.000477043,0.000477043,0.000477043
14,319.407,0.58964,0.54544,0.97375,0.94486,0.90298,0.96311,0.86004,0.55496,0.48201,0.93017,0.000441047,0.000441047,0.000441047
15,342.328,0.58022,0.52495,0.97089,0.95369,0.90842,0.96619,0.86271,0.55599,0.45466,0.92314,0.00040505,0.00040505,0.00040505
16,365.62,0.54077,0.49526,0.93197,0.94833,0.90344,0.96394,0.85528,0.56004,0.46928,0.93402,0.000369054,0.000369054,0.000369054
17,388.772,0.5218,0.45142,0.92034,0.9342,0.88437,0.9524,0.85316,0.54705,0.47789,0.92197,0.000333058,0.000333058,0.000333058
18,412.876,0.51247,0.43526,0.91264,0.93956,0.9002,0.95753,0.86214,0.53372,0.45624,0.91754,0.000297061,0.000297061,0.000297061
19,436.303,0.50128,0.41257,0.90051,0.96376,0.9049,0.96851,0.87439,0.52736,0.45603,0.91253,0.000261065,0.000261065,0.000261065
20,459.609,0.48742,0.40017,0.8953,0.95377,0.92015,0.97027,0.87719,0.52581,0.43739,0.91028,0.000225068,0.000225068,0.000225068
21,482.473,0.47303,0.38106,0.88931,0.95029,0.92983,0.97007,0.88463,0.50891,0.42728,0.9009,0.000189072,0.000189072,0.000189072
22,505.013,0.4616,0.36791,0.88043,0.95503,0.91973,0.96883,0.87931,0.50617,0.42564,0.90051,0.000153076,0.000153076,0.000153076
23,527.821,0.45151,0.35558,0.87683,0.95416,0.92988,0.97168,0.88593,0.49307,0.41672,0.89479,0.000117079,0.000117079,0.000117079
24,550.191,0.43475,0.34311,0.87153,0.96637,0.9279,0.97461,0.89167,0.48512,0.40528,0.8898,8.10828e-05,8.10828e-05,8.10828e-05
25,572.455,0.43377,0.33499,0.87207,0.9676,0.92903,0.97527,0.8923,0.48358,0.40008,0.88989,4.50864e-05,4.50864e-05,4.50864e-05
